Site ID,Sample Date,Wet Weather?,MPN/100mL Undiluted Sample,Flow %,CFS,Level
MRN9,6/21/12,N,159.7,31%,40.2,Moderate
MRN9,6/28/12,N,131.4,22%,27.9,Low
MRN9,7/5/12,N,156.5,14%,19.1,Low
MRN9,7/12/12,N,461.1,7%,11.7,Low
MRN9,7/19/12,N,365.4,4%,8.99,Low
MRN9,8/2/12,N,290.9,7%,12.2,Low
MRN9,8/9/12,N,125,4%,8.92,Low
MRN9,8/23/12,N,90.6,6%,10.8,Low
MRN9,8/30/12,N,328.2,6%,10.8,Low
MRN9,9/13/12,N,98.7,10%,15,Low
MRN9,9/20/12,N,1046.2,56%,78.3,Moderate
MRN9,9/27/12,N,116.2,18%,23.5,Low
MRN9,10/4/12,N,90.8,36%,46.3,Moderate
MRN9,6/6/13,N,110.6,46%,60.9,Moderate
MRN9,7/4/13,N,90.9,67%,102,Moderate
MRN9,7/18/13,N,146.7,23%,30,Low
MRN9,8/1/13,N,139.6,21%,27.3,Low
MRN9,8/8/13,N,131.4,17%,22.2,Low
MRN9,8/22/13,N,184.2,16%,20.5,Low
MRN9,9/5/13,N,387.3,16%,21.4,Low
MRN9,9/19/13,N,90.8,12%,16.8,Low
MRN9,9/26/13,N,101.7,14%,18.3,Low
MRN9,10/3/13,N,285.1,9%,13.8,Low
MRN9,5/29/14,N,151.5,65%,95.8,Moderate
MRN9,6/12/14,N,131.4,47%,63.6,Moderate
MRN9,7/31/14,N,139.1,41%,54.8,Moderate
MRN9,8/21/14,N,93.2,33%,42.8,Moderate
MRN9,8/28/14,N,118.7,22%,28.4,Low
MRN9,9/4/14,N,172.2,20%,25.2,Low
MRN9,9/11/14,N,95.9,15%,19.5,Low
MRN9,9/25/14,N,95.9,9%,14,Low
MRN9,6/4/15,N,261.3,39%,52.3,Moderate
MRN9,6/18/15,N,172.2,39%,51.1,Moderate
MRN9,7/2/15,N,435.2,84%,172,High
MRN9,7/9/15,N,214.2,60%,85.9,Moderate
MRN9,7/23/15,N,127.4,25%,32.4,Moderate
MRN9,7/30/15,N,344.8,36%,46.3,Moderate
MRN9,8/20/15,N,115.3,19%,24.2,Low
MRN9,9/3/15,N,122.3,11%,16,Low
MRN9,9/17/15,N,135.4,33%,42.4,Moderate
MRN9,9/24/15,N,78,10%,14.7,Low
MRN9,6/2/16,N,160.7,28%,36.4,Moderate
MRN9,6/9/16,N,290.9,35%,45.8,Moderate
MRN9,6/16/16,N,488.4,22%,28.4,Low
MRN9,6/23/16,N,130.9,13%,18,Low
MRN9,6/30/16,N,435.2,12%,16.6,Low
MRN9,7/7/16,N,1986.3,9%,14,Low
MRN9,7/14/16,N,238.2,8%,13.4,Low
MRN9,7/21/16,N,235.9,4%,9.61,Low
MRN9,7/28/16,N,162.4,1%,6.48,Low
MRN9,8/4/16,N,613.1,15%,20.2,Low
MRN9,8/25/16,N,365.4,3%,8.29,Low
MRN9,9/1/16,N,193.5,1%,6.32,Low
MRN9,9/8/16,N,517.2,0%,5.8,Low
MRN9,9/15/16,N,122.3,0%,5.34,Low
MRN9,9/22/16,N,980.4,4%,8.74,Low
MRN9,9/29/16,N,172.5,3%,8.54,Low
MRN9,10/6/16,N,98.7,2%,7.51,Low
MRN9,6/15/17,N,124.6,42%,55.5,Moderate
MRN9,6/22/17,N,307.6,51%,68.7,Moderate
MRN9,6/29/17,N,146.4,29%,37.4,Moderate
MRN9,7/6/17,N,209.8,22%,28.2,Low
MRN9,7/20/17,N,186,18%,22.9,Low
MRN9,7/27/17,N,172.2,20%,25.9,Low
MRN9,8/3/17,N,117.2,11%,16.3,Low
MRN9,8/10/17,N,325.5,10%,15.1,Low
MRN9,8/17/17,N,109.5,9%,14,Low
MRN9,8/31/17,N,980.4,5%,10.3,Low
MRN9,9/14/17,N,107.6,6%,11.6,Low
MRN9,9/21/17,N,135.4,4%,9.51,Low
MRN9,9/28/17,N,488.4,2%,7.36,Low
MRN9,10/5/17,N,62,3%,8.43,Low
MRN9,5/31/18,N,201.4,25%,31.7,Low
MRN9,6/7/18,N,228.2,32%,41.2,Moderate
MRN9,6/14/18,N,248.1,19%,24.2,Low
MRN9,6/21/18,N,111.2,18%,23,Low
MRN9,7/5/18,N,155.3,21%,26.4,Low
MRN9,7/12/18,N,103.9,14%,19.3,Low
MRN9,8/30/18,N,195.6,43%,57.5,Moderate
MRN9,9/6/18,N,115.3,30%,39.2,Moderate
MRN9,6/6/19,N,488.4,56%,78.1,Moderate
MRN9,7/4/19,N,228.2,17%,22.3,Low
MRN9,7/11/19,N,261.3,11%,15.5,Low
MRN9,7/25/19,N,285.1,22%,28.1,Low
MRN9,8/15/19,N,488.4,4%,9.49,Low
MRN9,9/19/19,N,73.3,2%,7.41,Low
MRN9,9/26/19,N,187.2,2%,7.45,Low
MRN9,7/9/20,N,292.4,18%,23.4,Low
MRN9,7/16/20,N,224.7,14%,19.4,Low
MRN9,8/13/20,N,122.3,4%,9.16,Low
MRN9,8/27/20,N,135.4,3%,7.81,Low
MRN9,9/10/20,N,186,16%,21.4,Low
MRN9,9/17/20,N,118.7,3%,8.38,Low
MRN9,9/24/20,N,69.1,2%,7.16,Low
MRN9,10/8/20,N,240,7%,12,Low
MRN9,10/15/20,N,235.9,23%,29,Low
MRN9,10/22/20,N,95.9,28%,36.1,Moderate
MRN9,10/29/20,N,259.5,46%,61.8,Moderate
MRN9,6/3/21,N,158,48%,65.3,Moderate
MRN9,6/17/21,N,275.5,25%,31.6,Low
MRN9,5/31/12,Y,727,78%,138,High
MRN9,6/7/12,Y,172,78%,136,High
MRN9,6/14/12,Y,193.5,70%,109,Moderate
MRN9,7/26/12,Y,435.2,8%,13.3,Low
MRN9,8/16/12,Y,435.2,27%,34.5,Moderate
MRN9,9/6/12,Y,2419.6,31%,40.7,Moderate
MRN9,5/30/13,Y,770.1,90%,224,High
MRN9,6/13/13,Y,111.2,98%,488,High
MRN9,6/20/13,Y,73.3,79%,139,High
MRN9,6/27/13,Y,218.7,51%,69.4,Moderate
MRN9,7/11/13,Y,727,62%,88.4,Moderate
MRN9,7/25/13,Y,613.1,52%,71,Moderate
MRN9,8/15/13,Y,104.6,31%,39.9,Moderate
MRN9,8/29/13,Y,240,15%,20.1,Low
MRN9,9/12/13,Y,686.7,25%,32.1,Moderate
MRN9,6/5/14,Y,172.3,76%,130,High
MRN9,6/19/14,Y,214.3,44%,58.7,Moderate
MRN9,6/26/14,Y,4839.2,74%,123,Moderate
MRN9,7/3/14,Y,4839.2,55%,76.4,Moderate
MRN9,7/10/14,Y,325.5,44%,59.4,Moderate
MRN9,7/17/14,Y,435.2,67%,101,Moderate
MRN9,7/24/14,Y,4839.2,67%,101,Moderate
MRN9,8/7/14,Y,85.5,28%,35.4,Moderate
MRN9,8/14/14,Y,4839.2,95%,308,High
MRN9,9/18/14,Y,59.4,13%,17.8,Low
MRN9,10/2/14,Y,1986.3,24%,30.2,Low
MRN9,5/28/15,Y,4839.2,27%,34.4,Moderate
MRN9,6/11/15,Y,235.9,32%,40.9,Moderate
MRN9,6/25/15,Y,119.8,29%,37.7,Moderate
MRN9,7/16/15,Y,122.3,44%,58.5,Moderate
MRN9,8/6/15,Y,186,22%,28,Low
MRN9,8/6/15,Y,186,22%,28,Low
MRN9,8/13/15,Y,387.3,35%,45.3,Moderate
MRN9,8/27/15,Y,307.6,29%,37,Moderate
MRN9,9/10/15,Y,4839.2,26%,33.6,Moderate
MRN9,10/1/15,Y,4839.2,90%,224,High
MRN9,8/11/16,Y,866.4,8%,12.8,Low
MRN9,8/18/16,Y,1553.1,4%,9.46,Low
MRN9,6/1/17,Y,770.1,87%,192,High
MRN9,6/8/17,Y,131.4,87%,193,High
MRN9,7/13/17,Y,1986.3,72%,115,Moderate
MRN9,8/24/17,Y,307.6,14%,19,Low
MRN9,9/7/17,Y,816.4,39%,51.3,Moderate
MRN9,6/28/18,Y,4839.2,97%,456,High
MRN9,7/19/18,Y,228.2,19%,24.3,Low
MRN9,7/26/18,Y,1732.9,99%,675,High
MRN9,8/2/18,Y,344.8,59%,83,Moderate
MRN9,8/9/18,Y,1986.3,90%,225,High
MRN9,8/16/18,Y,127.4,75%,126,High
MRN9,8/23/18,Y,191.8,85%,173,High
MRN9,9/13/18,Y,980.4,91%,235,High
MRN9,9/20/18,Y,214.3,85%,176,High
MRN9,9/27/18,Y,1553.1,99%,687,High
MRN9,5/30/19,Y,74.9,60%,84.8,Moderate
MRN9,6/13/19,Y,142.1,40%,53.3,Moderate
MRN9,6/20/19,Y,435.2,39%,52,Moderate
MRN9,6/27/19,Y,435.2,38%,50.8,Moderate
MRN9,7/18/19,Y,4839.2,13%,17.7,Low
MRN9,8/1/19,Y,613.1,8%,13.4,Low
MRN9,8/8/19,Y,4839.2,20%,25.8,Low
MRN9,8/22/19,Y,461.1,13%,17.6,Low
MRN9,8/29/19,Y,4839.2,24%,31,Low
MRN9,9/12/19,Y,126.7,4%,9.6,Low
MRN9,10/3/19,Y,74.9,3%,7.73,Low
MRN9,7/2/20,Y,410.6,18%,23.3,Low
MRN9,7/2/20,Y,410.6,18%,23.3,Low
MRN9,7/23/20,Y,4839.2,81%,148,High
MRN9,7/30/20,Y,547.5,8%,12.7,Low
MRN9,8/6/20,Y,344.8,15%,20,Low
MRN9,8/20/20,Y,344.8,3%,8.05,Low
MRN9,9/3/20,Y,4839.2,19%,24.9,Low
MRN9,10/1/20,Y,4839.2,29%,37.1,Moderate
MRN9,6/10/21,Y,727,32%,41.8,Moderate
